ID|REDUMP_NAME
SLES-00466|Arcade's Greatest Hits - The Atari Collection 1 (Europe)
SLUS-00399|Arcade's Greatest Hits - The Atari Collection 1 (USA)
SLES-00712|Arcade's Greatest Hits - The Atari Collection 2 (Europe)
SLUS-00449|Arcade's Greatest Hits - The Atari Collection 2 (USA)
SLES-00739|Arcade's Greatest Hits - The Midway Collection 2 (Europe)
SLUS-00450|Arcade's Greatest Hits - The Midway Collection 2 (USA)
SLPS-01438|Arcana Senki Ludo (Japan)
SLES-04096|Archer Maclean's 3D Pool (Europe)
SLPS-00428|Are!Mo KoreMo Momotarou (Japan)
SLES-00578|Area 51 (Europe) (En,Fr,De,Es)
SLES-03783|Area 51 (Europe) (En,Fr,De,Es) (Midway Classics)
SLPS-00726|Area 51 (Japan)
SLPS-00725|Area 51 (Japan) (Special Pack)
SLUS-00164|Area 51 (USA)
SLES-00748|Ark of Time (Europe) (En,Fr,De,Es,It)
SLPM-86262|Arkanoid R 2000 (Japan)
SLPS-00948|Arkanoid Returns (Japan)
SLPS-01598|Armed Fighter (Japan)
SCES-00842|Armored Core (Europe) (En,Fr,De,Es,It)
SLPS-00900|Armored Core (Japan)
SLPM-80111|Armored Core (Japan) (Demo 1)
SLPM-80118|Armored Core (Japan) (Demo 2)
SLPM-80119|Armored Core (Japan) (Demo 3)
SLPS-03581|Armored Core (Japan) (Rev 1)
SCUS-94182|Armored Core (USA)
SLUS-01323|Armored Core (USA) (Reprint)
SLPM-80371|Armored Core - Master of Arena (Japan) (Demo)
SLPS-01855|Armored Core - Master of Arena (Japan) (Disc 1)
SLPS-91444|Armored Core - Master of Arena (Japan) (Disc 1) (PSone Books)
SLPS-01856|Armored Core - Master of Arena (Japan) (Disc 2)
SLPS-91445|Armored Core - Master of Arena (Japan) (Disc 2) (PSone Books)
SLUS-01030|Armored Core - Master of Arena (USA) (Disc 1)
SLUS-01081|Armored Core - Master of Arena (USA) (Disc 2)
SLPS-01130|Armored Core - Project Phantasma (Japan)
SLPS-91110|Armored Core - Project Phantasma (Japan) (PlayStation the Best)
SLUS-00670|Armored Core - Project Phantasma (USA)
SLES-02617|Armorines - Project S.W.A.R.M. (Europe) (En,Fr,Es,It)
SLES-02726|Armorines - Project S.W.A.R.M. (Germany)
SLPM-86502|Armorines - Project S.W.A.R.M. (Japan)
SLUS-01022|Armorines - Project S.W.A.R.M. (USA)
SLES-02620|Army Men - Air Attack (Europe) (En,Es,It)
SLES-02498|Army Men - Air Attack (Europe) (En,Fr,De)
SLUS-00913|Army Men - Air Attack (USA)
SLES-03226|Army Men - Air Attack 2 (Europe)
SLES-03227|Army Men - Air Attack 2 (France)
SLES-03228|Army Men - Air Attack 2 (Germany)
SLES-03229|Army Men - Air Attack 2 (Italy)
SLES-03230|Army Men - Air Attack 2 (Spain)
SLUS-01132|Army Men - Air Attack 2 (USA)
SLUS-01330|Army Men - Green Rogue (USA)
SLES-03231|Army Men - Land, Sea, Air (Europe) (En,Fr,De,Es,It)
SLES-03414|Army Men - Lock 'n' Load (Europe) (En,Fr,De,Es,It)
SLES-03431|Army Men - Omega Soldier (Europe) (En,Fr,De,Es,It)
SLES-02855|Army Men - Operation Meltdown (Europe) (En,Fr,De,Es,It)
SLES-02626|Army Men - Sarge's Heroes (Europe)
SLES-02627|Army Men - Sarge's Heroes (France)
SLES-02628|Army Men - Sarge's Heroes (Germany)
SLES-02630|Army Men - Sarge's Heroes (Italy)
SLES-02629|Army Men - Sarge's Heroes (Spain)
SLUS-00914|Army Men - Sarge's Heroes (USA)
SLES-03316|Army Men - Sarge's Heroes 2 (Europe) (En,Fr,De,Es,It)
SLUS-01202|Army Men - Sarge's Heroes 2 (USA)
SLES-03633|Army Men - Team Assault (Europe) (En,Fr,De,Es,It)
