ID|CRC32|MD5|SHA1
SLES-00858|3cfb0836|4e690c5d4519ee471a82a52f1b74ae92|af4a7aa5a61bba47dcdfe22f5d2ee2019d0ece49
SLES-01973|da547388|daf1cfaa4af08b6cb51a24f8e43996e0|b572d5c01e5cb8f30bc5322728aa3fc3c71eda9c
SLES-03772|9c93460d|c36bab2f37daab5875fc9d98d4ccd757|c9b43b704e16601136ec4639dea22d414ea21402
SLES-00049|a98b7f0f|c7196bd54ce3db47efc41f8870207aa8|78175aedbab7881c77d27d645c1195054bf1a294
SCES-00242|a32d1811|a7c3f87fbdb7dfd69c15265846e1ee52|588bcc418ffc2a2902ba53eca770ca2353b6d2c7
SCES-01922|8f4a6f54|d973d6426c0aaab0b993edf0fc3b1b79|d8c150de1863260f82b56e63303ada2f617fddb7
SLES-00539|a25cf38d|574f37f5125fba0324cb057b878c5a75|a234ef957ca02179305f0e6fe2f295dd4ca156c9
SCES-01706|4d1ab884|7eb26ba47feaed0b6ec526f849dfb45b|d22c6bbb31805d6847e82a858f7fbf9324a74a60
SLES-00056|b39582ea|bb71acb0fcbc88cf2b7e77fb0459c64d|fc768496d73856a84fe01d9a24c931fc858d5b08
SLUS-00402|5a04bbbd|bbc7dbfd10dced150867077b675ac4f2|2c62f4532a4db520120b0cc312dee0778afd2ac5
SCUS-94154|2f5295e0|8724134152a6b177a5b588b06eed0f7|219744d6c212febe08bf51b91ce7f907e0cbc8d5
SCUS-94900|ccd95888|5a8f47a378b4a0c0e9eac8785219fba9|29fa8711d0c23d0dc77c586b69611758990b43b1
SLUS-00662|c16ab5d7|bf2f91b5f53ed9f74c0ef191d824bfcb|cc92123da29280ff91cfd3a05d4a23d8bf066bd6
SLUS-00775|4d0a885c|b786bae18273f13482b41da3aa01d7fc|832247cece6da55c2292d3ea7001e6227e76e33b
SCUS-94570|ed2f7414|7173b34f13fc1a9f1b73d906191acffc|b554ba17c730630af413bca9620d1178d950c82a
SLUS-00006|52d4b0c2|12599401df9c9b01af25e954802cb57|bb3c008b36bae03f04476d7de17beca2619c7b37
SCUS-94244|c86c99e7|7cd81f0e68990e9ff62312319b86960f|1faf8bcf9d4e79536594de9e0bf2590bd44ffa63
SCUS-94426|8987465d|12c59073dc751f4b8f23c34ec731a0c0|c183c562ffd0128f5dc8b46c4ef1c36743741495
SLUS-00668|e2cccb0e|f10fdf1466e6e338b38923b5bcac661d|3139e5f2b66d347647c41f75e01db998da6dd93e
SLUS-00213|80d009c2|27d9b79d9bd2b13cdfc314b4619232b9|dde5ef1c54e77c42dbb50e41c08095e35ed3402e
SLES-03401|a5ea1171|14800d6ae2caa38cf33deaec508f9e31|ef6e9bcebdaa56f8063c14acadeb0672b1abc86c
SLES-04177|85a27a8e|e22819e0019334f95e7f335fbe1fcaab|cff3ebbf376b2f9792376c7d1c0ce7bdc978495c
SLES-02025|25812863|fe918865c71300bdf3126829fedd7f2|65407b72a31d852cd882da3c28e218933dfa5e68
SLES-01092|c3f57238|92c4bd429e1584f5b37174a40dce703a|6aaa6fb904b5f4791764942aa875d6fb627defc7
SCES-01232|176b583f|114e8e3526f61b2356846ddb2032dc6|c86371205657e1c1e3574b145df17b5cfa7cca99
SLES-02888|95c12390|a02d5330786c610dcbfae6d91b95dac3|274cae52461df5826cb60d77ea4e51c83f292b6
SLES-00682|05bc9373|fddc130a17156a6903bbdab53e3b3776|3e35a2a76878fb80c6a2360c1d473eb1e690886c
SLES-02895|f8ca786a|8c65d59860d4ceb6bc5bfeedfda3428c|f3849f82feccc18624b28078db7c3bf2a99bb19b
SCES-01763|9ece3843|157d60d11f554937c6dd026f2b447e93|831f0749308f7af6df3690924b4703c7d2b2f367
SLES-01514|9bf9fdf4|90ea764255f74ad92f80cbc4af0d1820|10cebdc131043598dedfe6bad4c4b2ea7dc654f5
SCES-02104|178b056d|117ca2fd2ba15b1eafa01d9ae590ea9d|c476c1e90799ccc49cfcc19ac224dc9d0f4b6987
SCES-03821|3e170c5a|78f7c1f2c98ca1ca54605e416b7ae473|adfbc67dc7528c759e3a0eca6b1e8a39732fe65b
SCES-12287|09b1dd72|5f3e617034409b6ed10540004aef29dd|a97bd4b955ec55bed2ee1f595856c7675a10ec6c
SCES-03699|1ed8e66a|85e6f5ecc76f8d26b379bc32d94ef33b|4a04d0bf1976d8b437ad7af36d6f04eec35ade29
SLES-02036|623cea7a|268fa0a3847e1484449527d970189867|b1a67a2a5a4b95588fb16faa80340f6f0fd53ce
SLES-03625|3eec2856|43cc3ce2a0100a6e6162154e96e18e32|3f54bff13ec3c654ce93c0af60e6162f44afc049
SCES-01912|cbd94cb8|a4d8bc48a733f8bb606dc7c916557127|fa38bd67faf08d83ecd5b4cab896b1b0e76497c5
SCES-02835|36067993|1d5d53580b798099e997e8c0c0202dba|85841684eabf9621af9546c62df48e88f9baf788
SCES-01438|826719a1|bfbb02a671b183864c8187369165e290|55ab792259a711851496e91d5126955bbc4fb868
SCES-02287|6430d852|ff2af5f610cfa7571cf5770595d1ee5f|4735db53afdee77e5e319555e5cc97a8a9a7d8b5
SLES-00284|6896c622|927edecbdcde6695cd2940b87c50b679|977b2e92b6af7d68dec846b9547445bcceb4410d
SLES-02194|9f00ec42|c373bb9d9930fbd6dee2fb9a1883e4ef|bddfc403e51ca03f6aee1ab4e6542a5f16410a7b
SLES-02859|038e9770|c87474fec27eb403d0cce741d29b8eb|9a6f9ca2e89537abe9ca6b3bcbc9c555db9a1110
SLES-02158|efb0e2bd|2a0b9da4f0a1db17d9d7c481df3c288f|a256cc0b39f0cb7d052dbe8216687ed3467f7005
SLES-02282|67c5b13a|163690ea761453e0d9cafec3dc4e3805|492721675e7cbbbdaec8e9ea90ad17ff1bdab3e2
SLES-01796|9a6f72fb|a40a3eb002284b644c31cf24eaf789ec|a421553f392e0323a719d5fdd958595a316eeb8d
SLES-11007|78efac30|b3213ed7daa35d66a2ca255ecafa104c|28b5fb0aec371b16e90bd1cf32812e02fae6a881
